Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Avg,East-Avg,Down-Avg,Yaw-Avg,North-Dif,East-Dif,Down-Dif,Yaw-Dif,North-One,East-One,Down-One,Yaw-One,North-Two,East-Two,Down-Two,Yaw-Two,Landing-State,Q-Size,Kalman-Time,Kalman-Dt,CH1-Thrust,CH2-Roll,CH3-Pitch,CH4-Yaw
STABILIZE,31.710646867752075,26.146419309794535,0.03231695493062337,0.03728151321411133,-10,40,10,1.5666363277792992,7.49670976507386,10.470163464573565,2.4703095759416094,3.9375254571720144,1.4393234081634159,0.29167435499283806,58.58172061641512,49.18123064080365,94.03415658136853,-1.4796355381152253,-92.58136749267578,-13.684946298599243,-6.8382613360881805,-6.551962694832751,-135.0237250328064,-54.40938472747803,-7.762250304222107,55.267460770357246,48.41212049122249,92.26470752452013,-1.888402906964386,4.270227729888006,-0.6763230494982935,-1.774090423657114,0.42452636080659967,57.40257463530125,48.07395896647334,91.37766231269157,-1.6761397265610862,53.13234690541324,48.750282015971635,93.15175273634868,-2.100666087367686,False,0,35.118871212005615,0.034921142578125,1550,1493,1370,1494
STABILIZE,31.744113206863403,29.880983422029395,0.03228286107381185,0.03245878219604492,-10,40,10,1.4767416467918226,6.829624825632578,10.459749133636588,2.5320272409659927,3.924255351046305,1.3828827347447439,0.2922022932009246,56.41082728960611,48.79395694083574,93.78657234815735,-1.7559560832456214,-92.58136749267578,-13.684946298599243,-6.8382613360881805,-6.551962694832751,-135.0237250328064,-54.40938472747803,-7.762250304222107,54.997283444434004,48.268754474075195,91.80416912144169,-1.9775547779497247,4.810582381734498,-0.3895910152037132,-0.8530136175002383,0.6028301027772771,57.40257463530125,48.07395896647334,91.37766231269157,-1.6761397265610862,52.59199225356675,48.463549981677055,92.23067593019181,-2.2789698293383633,False,0,35.147533655166626,0.034921142578125,1550,1492,1373,1494
STABILIZE,31.777539491653442,29.91721648822728,0.03240063985188802,0.03251147270202637,-10,40,10,1.412360497118694,6.301056122559156,10.407957516707674,2.6138925982915424,3.9134424621103574,1.3433267681589196,0.2926759227006115,54.00481948634161,48.39577071318827,93.55031006180471,-1.9472260415923528,-95.4054057598114,-15.137919783592224,-7.442503422498703,-1.6574559657907837,-111.04103326797485,-49.415260553359985,-21.080192923545837,50.548212635347696,48.2970113787047,92.0949989117662,-2.3593439712299165,4.3324420023321935,-0.4508610871849328,-1.8028309515830614,0.1942519051622389,52.71443363651379,48.071580835112236,91.19358343597467,-2.262218018648797,48.381991634181595,48.52244192229717,92.99641438755773,-2.456469923811036,False,0,35.17649745941162,0.029932861328125,1550,1490,1376,1494
STABILIZE,31.817747116088867,24.87134724857685,0.03240230878194173,0.03928709030151367,-10,40,10,1.299358966003947,5.456121594867205,10.173808386675882,2.9211845961182012,3.891950439633886,1.2960674769817446,0.2934931983549147,49.11615957483579,47.60868169230863,93.11970709353318,-2.174777456198256,-105.46960830688477,-18.882596492767334,-5.741199851036072,4.0334008747163645,-110.98473072052002,-70.75897455215454,0.5092792212963104,46.65070402571622,48.589783036685716,92.1396969700682,-2.7020822082345415,-0.1758747699137473,-0.08129396553398038,-1.0612667465658774,-0.09022772883190511,46.56276664075935,48.54913605391872,91.60906359678526,-2.747196072650494,46.7386414106731,48.6304300194527,92.67033034335114,-2.6569683438185887,False,0,35.23346447944641,0.03492138671875,1550,1491,1388,1494
STABILIZE,31.85136342048645,29.751267919335504,0.032381327946980794,0.03249812126159668,-10,40,10,1.2618648559985735,4.73500815154383,9.817136761991462,2.7256231758037637,3.898749982816377,1.2918159194468164,0.29393535856629116,46.25460344946119,47.21402409591425,92.92140861965656,-2.1887164123580027,-107.1256160736084,-19.74947154521942,-7.216580957174301,7.494508736613824,-90.29698371887207,-57.19877481460571,13.252854347229004,41.779049419184446,49.176793134041276,92.36834802459295,-2.8684131127908348,-3.1987484860935353,-0.5722782959732271,-0.6195400939841988,0.17335565156700872,40.17967517613768,48.890653986054666,92.05857797760085,-2.78173528700733,43.378423662231214,49.46293228202789,92.67811807158505,-2.955090938574339,False,0,35.26270389556885,0.029931884765625,1551,1494,1438,1494
STABILIZE,31.884979963302612,29.742196253066897,0.032196791966756184,0.03272843360900879,-10,40,10,1.2682946253284944,4.237177007282757,9.491991582968529,2.770946235981578,3.898356988522198,1.2962052901046583,0.2942693597891769,43.594334657320864,46.87211971047633,92.75332355340089,-2.1594631327322107,-107.1256160736084,-19.74947154521942,-7.216580957174301,7.494508736613824,-90.29698371887207,-57.19877481460571,13.252854347229004,39.83012724645887,49.138460278710674,92.605267814314,-2.8094970079229356,0.6990958593576124,-0.495612585312017,-1.0933796734263126,0.05552344183121072,40.17967517613768,48.890653986054666,92.05857797760085,-2.78173528700733,39.480579316780066,49.38626657136668,93.15195765102716,-2.837258728838541,False,0,35.2942328453064,0.029931884765625,1550,1491,1452,1494
STABILIZE,31.91857671737671,29.76668133365506,0.03247025807698568,0.032584428787231445,-10,40,10,1.2917467201739679,3.5745519679260815,8.995133740664183,2.7944172925474375,3.900642836374105,1.3085191452202751,0.29461298221892446,41.01275001807978,46.522610054509116,92.58298880597411,-2.090898280398405,-105.03731966018677,-20.85930109024048,-7.711415737867355,9.503808664006296,-103.19830179214478,-75.01375675201416,1.4712169766426086,38.53131414749707,49.11316049676903,92.5983446614639,-2.795964080485179,-1.8985303385659975,-0.5462121491953127,-1.107225979126511,0.0825892967067241,37.58204897821407,48.84005442217137,92.04473167190065,-2.754669432131817,39.480579316780066,49.38626657136668,93.15195765102716,-2.837258728838541,False,0,35.32261061668396,0.029931884765625,1550,1476,1476,1494
STABILIZE,31.95199942588806,29.919350581722984,0.03228786786397298,0.03242349624633789,-10,40,10,1.3571039465681736,2.8357058594134728,8.54484242057369,2.83181346170443,3.9022892868625103,1.3199855578775717,0.29483986999473705,38.38033212242826,46.14729939963216,92.4697263828871,-2.0267869755886734,-110.38937568664551,-22.729311883449554,-4.715512320399284,8.814313020124558,-91.4035439491272,-62.29017376899719,-8.661023527383804,37.24869970104589,48.98140184551022,92.60194456787114,-2.7168388700118906,0.6666985543363637,-0.28269484667769973,-1.1144257919409881,-0.07566112423985238,37.58204897821407,48.84005442217137,92.04473167190065,-2.754669432131817,36.915350423877705,49.12274926884907,93.15915746384164,-2.6790083078919644,False,0,35.35183382034302,0.0399091796875,1550,1476,1492,1494
STABILIZE,31.985395431518555,29.941776959209605,0.032329591115315755,0.032451629638671875,-10,40,10,1.370536260622944,2.1360296051304175,8.106691761732897,2.7784227654305846,3.906143927014551,1.3271831936929321,0.2950876345762422,35.21012040305543,45.679053998517006,92.34603000721091,-1.9841633533745966,-110.38937568664551,-22.729311883449554,-4.715512320399284,8.814313020124558,-91.4035439491272,-62.29017376899719,-8.661023527383804,35.17714850026837,48.92921428719384,92.8904141863536,-2.5866234709472256,4.809800955891383,-0.17831973004493307,-1.6913650289058921,-0.3360919223691825,37.58204897821407,48.84005442217137,92.04473167190065,-2.754669432131817,32.772248022322685,49.0183741522163,93.73609670080654,-2.4185775097626343,False,0,35.38050723075867,0.0399091796875,1550,1490,1497,1494
STABILIZE,32.03358459472656,20.752169567669732,0.03238681157430013,0.04723620414733887,-10,40,10,1.4403399401668282,1.5804870976424388,7.795489560126898,3.0032103524236105,2.329005863831128,1.402572373065951,0.2953266093864454,29.130678652085923,44.773232274497346,92.17834750217258,-1.599512286392102,-120.1276421546936,-26.573866605758667,-5.006566271185875,16.821528199238095,-43.44448447227478,-26.342007517814636,-22.71939516067505,31.444546754137463,48.71718029773615,93.12869884516634,-2.091107519572446,0.5252084471853387,-0.31167302320544366,-1.0576933592464854,-0.07804292192101592,31.707150977730134,48.56134378613343,92.5998521655431,-2.130128980532954,31.181942530544795,48.87301680933887,93.65754552478958,-2.052086058611938,False,0,35.437912464141846,0.069842041015625,1551,1486,1507,1494
