E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.04,0.0,0.0,-0.18732885827811668,0.0007792669148375843,-0.0,0.0,0.0007792669148375843,0.04,0.0,0.0,-0.23000000189931402,0.0011634124783904227,-0.0,-0.0,0.0011634124783904227,0.5,0,0,0.13507271513142602,-0.010433132004511986,0.0,-0.0,-0.010433132004511986,0.002,8e-05,0.0,-4.279955778355278,-0.001500806711309521,-0.0003423964622684223,0.0,-0.0018432031735779433,0.02908531195976057,0.0,-0.02908531195976057,0.019481672870939607,0.0,-0.019481672870939607,-0.7504033556547605,0.0,0.7504033556547605,-0.02086626400902397,0,0.02086626400902397,0.0007796905605354032,-0.0011631286039157584,0.010433132004511986,0.4,0.03343653678894043,5.277791261672974,STABILIZE
0.04,0.0,0.0,-0.18668094658182477,0.0007742881905003833,-0.0,-0.0,0.0007742881905003833,0.04,0.0,0.0,-0.2292379543963684,0.0009106864183931184,-0.0,-0.0,0.0009106864183931184,0.5,0,0,0.13444387243070602,-0.009393746856949983,0.0,0.0,-0.009393746856949983,0.002,8e-05,0.0,-4.304809546384255,-0.001485077301768765,-0.0003443847637107404,0.0,-0.0018294620654795053,0.02276716045982796,0.0,-0.02276716045982796,0.019357204762509583,0.0,-0.019357204762509583,-0.7425386508843824,0.0,0.7425386508843824,-0.018787493713899966,0,0.018787493713899966,0.0007745867662454631,-0.0009104324775355063,0.009393746856949983,0.4,0.03347134590148926,5.3112616539001465,STABILIZE
0.04,0.0,0.0,-0.18588606511758504,0.0008316639655225009,-0.0,0.0,0.0008316639655225009,0.04,0.0,0.0,-0.2282795126427416,0.001002792875923941,-0.0,0.0,0.001002792875923941,0.5,0,0,0.13379564058251855,-0.008477853203515127,0.0,0.0,-0.008477853203515127,0.002,8e-05,0.0,-4.333178265736946,-0.001484072952702472,-0.0003466542612589557,0.0,-0.0018307272139614277,0.025069821898098525,0.0,-0.025069821898098525,0.02079159913806252,0.0,-0.02079159913806252,-0.7420364763512359,0.0,0.7420364763512359,-0.016955706407030254,0,0.016955706407030254,0.0008319606885088363,-0.0010025467152847906,0.008477853203515127,0.4,0.03823089599609375,5.3494908809661865,STABILIZE
0.04,0.0,0.0,-0.18510500127291418,0.0009248478591728042,-0.0,0.0,0.0009248478591728042,0.04,0.0,0.0,-0.22732071779543156,0.0011352969004656442,-0.0,0.0,0.0011352969004656442,0.5,0,0,0.1332659083136036,-0.007840616330269128,0.0,0.0,-0.007840616330269128,0.002,8e-05,0.0,-4.358918769429415,-0.0015239503080597388,-0.00034871350155435323,-0.0,-0.001872663809614092,0.028382422511641102,0.0,-0.028382422511641102,0.023121196479320105,0.0,-0.023121196479320105,-0.7619751540298694,0.0,0.7619751540298694,-0.015681232660538256,0,0.015681232660538256,0.0009251585429638412,-0.001135043737132821,0.007840616330269128,0.4,0.03378129005432129,5.383278131484985,STABILIZE
0.04,0.0,0.0,-0.184400488892899,0.0008420609099139242,-0.0,-0.0,0.0008420609099139242,0.04,0.0,0.0,-0.22651619220461136,0.0009616006336758642,-0.0,-0.0,0.0009616006336758642,0.5,0,0,0.13312371892658276,-0.002124379358179232,0.0,0.0,-0.002124379358179232,0.002,8e-05,0.0,-4.384887644315304,-0.0015519510399080053,-0.00035079101154522434,-0.0,-0.0019027420514532295,0.024040015841896606,0.0,-0.024040015841896606,0.021051522747848106,0.0,-0.021051522747848106,-0.7759755199540026,0.0,0.7759755199540026,-0.004248758716358464,0,0.004248758716358464,0.0008421322149289287,-0.0009615381881494809,0.002124379358179232,0.4,0.03346610069274902,5.416735887527466,STABILIZE
0.04,0.0,0.0,-0.18372516762031643,0.0008074984576660695,-0.0,-0.0,0.0008074984576660695,0.04,0.0,0.0,-0.22577159957431897,0.0008903279445815279,-0.0,-0.0,0.0008903279445815279,0.5,0,0,0.13292597767670974,-0.002955551690212248,0.0,-0.0,-0.002955551690212248,0.002,8e-05,0.0,-4.410341403485143,-0.001521784675377228,-0.0003528273122788115,0.0,-0.0018746119876560396,0.022258198614538198,0.0,-0.022258198614538198,0.020187461441651736,0.0,-0.020187461441651736,-0.760892337688614,0.0,0.760892337688614,-0.005911103380424496,0,0.005911103380424496,0.0008075903069145948,-0.0008902446316678578,0.002955551690212248,0.4,0.033452510833740234,5.45020055770874,STABILIZE
0.04,0.0,0.0,-0.1829669474338359,0.0009062739622797892,-0.0,0.0,0.0009062739622797892,0.04,0.0,0.0,-0.22496850590649642,0.0009599096586939241,-0.0,0.0,0.0009599096586939241,0.5,0,0,0.1327267586497654,-0.002976493835986336,0.0,-0.0,-0.002976493835986336,0.002,8e-05,0.0,-4.436150473250599,-0.0015424337373333781,-0.000354892037860048,-0.0,-0.001897325775193426,0.0239977414673481,0.0,-0.0239977414673481,0.02265684905699473,0.0,-0.02265684905699473,-0.771216868666689,0.0,0.771216868666689,-0.005952987671972672,0,0.005952987671972672,0.0009063736912673785,-0.0009598154923413881,0.002976493835986336,0.4,0.03346538543701172,5.483709096908569,STABILIZE
0.04,0.0,0.0,-0.18212794447928776,0.0010030880361077289,-0.0,0.0,0.0010030880361077289,0.04,0.0,0.0,-0.22415618896938996,0.000971182993721384,-0.0,0.0,0.000971182993721384,0.5,0,0,0.13256197925225138,-0.0024625694305865564,0.0,0.0,-0.0024625694305865564,0.002,8e-05,0.0,-4.461764503353818,-0.0015311702428317774,-0.00035694116026830546,0.0,-0.0018881114031000829,0.0242795748430346,0.0,-0.0242795748430346,0.025077200902693223,0.0,-0.025077200902693223,-0.7655851214158886,0.0,0.7655851214158886,-0.004925138861173113,0,0.004925138861173113,0.001003171515184243,-0.0009710967647969175,0.0024625694305865564,0.4,0.03345680236816406,5.517127752304077,STABILIZE
0.04,0.0,0.0,-0.18130393598263195,0.0009860675564183645,-0.0,-0.0,0.0009860675564183645,0.04,0.0,0.0,-0.2232170020089962,0.0011238983515509927,-0.0,0.0,0.0011238983515509927,0.5,0,0,0.1324266717753994,-0.002023982665318909,0.0,0.0,-0.002023982665318909,0.002,8e-05,0.0,-4.487126223591608,-0.0015174825018758598,-0.0003589700978873287,0.0,-0.0018764525997631886,0.028097458788774815,0.0,-0.028097458788774815,0.024651688910459112,0.0,-0.024651688910459112,-0.7587412509379299,0.0,0.7587412509379299,-0.004047965330637818,0,0.004047965330637818,0.0009861469577389216,-0.0011238286827547127,0.002023982665318909,0.4,0.03342604637145996,5.550549268722534,STABILIZE
0.04,0.0,0.0,-0.18035717441971313,0.000946175941861056,-0.0,-0.0,0.000946175941861056,0.04,0.0,0.0,-0.22199346694630237,0.001222778242892823,-0.0,0.0,0.001222778242892823,0.5,0,0,0.13228974220090528,-0.0017105609557620755,0.0,0.0,-0.0017105609557620755,0.002,8e-05,0.0,-4.517000687288845,-0.0014927992397147307,-0.0003613600549831076,0.0,-0.0018541592946978384,0.030569456072320575,0.0,-0.030569456072320575,0.0236543985465264,0.0,-0.0236543985465264,-0.7463996198573654,0.0,0.7463996198573654,-0.003421121911524151,0,0.003421121911524151,0.0009462489520693624,-0.0012227217446976026,0.0017105609557620755,0.4,0.040024757385253906,5.590582370758057,STABILIZE
