Mode,Time,Freq,Sync-Freq,Kalman-Freq,Control-Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,northVraw,eastVraw,downVraw,N-Velocity,E-Velocity,D-Velocity,N-Acceleration,E-Acceleration,D-Acceleration,yawVraw,yawRate,Landing-State,Q-Size,N-diff,E-diff,D-diff,Y-diff
GUIDED_NOGPS,4.762611389160160,31.51313703539520,31.51313703539520,31.51313703539520,31.51313703539520,-7.539579628285240,36.14842876619060,42.870425495643800,-0.9329617370882410,-10.0,40.0,0.11618626768240100,0.20493993276793800,0.2768857303902680,0.3547761404680350,-0.5942657766708950,0.36062646957844,-0.4859394567165410,0.4045556709246240,-7.436442646189180,38.0741304381407,40.91027041140310,3.7685494869947400,17.517046630382500,-14.645825326442700,-3.0410142615437500,1.24821737408638,-20.11047601699830,-1.34183304013545,1.8121832292668400,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.7959370613098100,30.01398261118470,30.01398261118470,30.01398261118470,30.01398261118470,-7.470380620708910,36.57307643987870,42.37840390421400,-0.9262289562348430,-10.0,40.0,0.07870470345523730,0.23704118153676400,0.34268766613246500,0.37226126466070900,-0.5879792199444070,0.37446259675717200,-0.47463939574031100,0.40535237546017000,-7.267851558735760,38.4070879551748,40.4068155059519,3.7685494869947400,17.517046630382500,-14.645825326442700,-3.0410142615437500,1.24821737408638,-20.11047601699830,-1.3446334935372800,1.8121832292668400,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.83953332901001,22.939123301156700,22.939123301156700,22.939123301156700,22.939123301156700,-7.406792565055980,37.01663718977300,41.89861431605860,-0.9754584233922030,-10.0,40.0,0.05011369414120990,0.08091906536613930,0.4191980578327720,0.36598485442199600,-0.44991571073741400,0.3344257814923990,-1.0358046621433000,0.406108443188674,-7.610866293529930,38.56781691784320,40.007231009990900,4.337168484926220,18.04303675889970,-11.940095573663700,-13.253900408744800,35.95761060714720,58.67154002189640,-1.3370246852736800,-2.0586331031070100,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.863368034362790,41.96696116786570,41.96696116786570,41.96696116786570,41.96696116786570,-7.3069625273054100,37.56510732747250,41.21823403831290,-1.0260508861085200,-10.0,40.0,0.029321312911825700,0.18240222949760000,0.42663890860326700,0.3839313632291900,-1.356047020174280,0.5579763368485110,-1.4834716405578200,0.407350781007196,-7.094790883355980,39.312964027653900,39.712840747756500,4.802443087100980,18.321557343006100,-16.29520356655120,-132.7188491821290,11.347392946481700,62.1141254901886,-1.3750135661348200,-1.839969506027510,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.89668607711792,30.01827876185360,30.01827876185360,30.01827876185360,30.01827876185360,-7.310549962612210,37.94678725609260,40.85679856488720,-1.0638545213026200,-10.0,40.0,0.01517745644681410,0.2610855818493240,0.18711559363343800,0.3159140983183820,-0.5953387734244760,0.2373587275412830,-1.0857544779116700,0.4079349436686670,-6.924001913255730,39.55692036541560,39.21423099497480,-1.5721233561635000,18.017756938934300,-14.674486219883000,-26.400908827781700,9.665076434612270,-60.40986180305480,-1.3569168784132200,-1.536931301470390,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.93009090423584,29.938998536707200,29.938998536707200,29.938998536707200,29.938998536707200,-7.269529320868030,38.43624781402180,40.33601213666340,-1.0624336052244800,-10.0,40.0,0.006472969316384080,0.35178483777668700,-0.010627667626834100,0.29022140794045300,-0.8477829577182650,0.33915358074902300,-0.6204577981387700,0.408851254525672,-6.884806568845700,40.17955742897090,38.725613984825700,0.8882338181138040,18.652832508087200,-15.187983214855200,-97.34551906585690,25.102275609970100,-55.39891719818120,-1.34986381741713,1.3097690280726900,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.962748050689700,30.624522667367600,30.624522667367600,30.624522667367600,30.624522667367600,-7.2173830007195400,38.965996803412500,39.83572837328480,-1.0954891907899700,-10.0,40.0,0.0019387683622440500,0.3963301576047470,-0.12250680656187800,0.26530936015988900,-0.9879651370581490,0.37284703590066300,-1.0616424208410200,0.40973854825998200,-6.839798327279970,41.24992286332770,37.9708454476799,1.5956446528434800,19.027826189994800,-12.852171063423200,33.792662620544400,-3.7293512374162700,45.09628415107730,-1.3668008120000000,-1.0463507231784000,FALSE,0,0,0,0,0
GUIDED_NOGPS,4.997569799423220,28.727912822514900,28.727912822514900,28.727912822514900,28.727912822514900,-7.124509629702290,39.53106910454250,39.31114546547350,-1.079294419282070,-10.0,40.0,0.0002449670796451640,0.39552675660362400,-0.4330178784012350,0.1812266899084180,-1.0345953688488100,0.45769158086403800,-0.4608442045858190,0.41067522816703000,-6.703597334105020,42.21534427436360,37.30009958355520,4.071640968322750,19.814683496952100,-14.377455413341500,55.285823345184300,22.46580421924590,-1.5624776482582100,-1.2749496979004900,1.969757400966330,FALSE,0,0,0,0,0
GUIDED_NOGPS,5.030804872512820,30.090206684793100,30.090206684793100,30.090206684793100,30.090206684793100,-7.034907794822600,40.13326018124460,38.76373056320970,-1.0623799687153700,-10.0,40.0,-1.20792265079217e-13,0.2950829551647680,-0.5731579922442650,0.12763303695674400,-1.1981711043184400,0.4698196942493040,-0.4339406047054030,0.41166645918170900,-6.776249976307520,43.22283113516980,36.5632697831838,4.071640968322750,19.814683496952100,-14.377455413341500,55.285823345184300,22.46580421924590,-1.5624776482582100,-1.2759289446808800,1.969757400966330,FALSE,0,0,0,0,0
GUIDED_NOGPS,5.065411567687990,28.900124714912700,28.900124714912700,28.900124714912700,28.900124714912700,-7.003626154550620,40.7463115954799,38.23434677899170,-1.0827625104398000,-10.0,40.0,0.0,0.007290586608753920,-0.7698344633335450,0.017153608221403800,-1.2201083947548400,0.3481713478498110,-0.8851606260874860,0.41261933421924500,-6.607029424600210,43.9102045272483,36.162184810868300,-0.1545855775475500,20.565538108348800,-14.689643681049300,-44.521161913871800,6.674736738204960,42.446571588516200,-1.2086147661243000,-0.8018669833238470,FALSE,0,0,0,0,0
