Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,4.57391285896,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.27,0.02,0.76,0.87,-0.38,-0.139922099895,0.174,0.5475
STABILIZE,4.67702198029,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.187806017048,0.5475
STABILIZE,4.78004693985,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.0540883911885,0.5475
STABILIZE,4.88604283333,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.261791666667,0.5475
STABILIZE,4.99000000954,2.91528344154,-0.0371778011322,0.0231653843075,2.94266080856,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.162948222715,0.5475
STABILIZE,5.09287691116,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.18682158484,0.5475
STABILIZE,5.19584393501,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.0625731052305,0.5475
STABILIZE,5.30287885666,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.158,0.5475
STABILIZE,5.40729403496,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.158,0.5475
STABILIZE,5.51387405396,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.18,0.02,0.76,0.78,-0.38,-0.152,0.146013553539,0.5475
STABILIZE,5.61676383018,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.261791666667,0.5475
