Mode,Time,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,yawCurrentAngle,rollControl,pitchControl,yawControl,thrustControl
STABILIZE,1574805116.861702,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.88182,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.901898,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.9219933,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.9423451,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.9624352,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805116.9825065,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.0030267,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.023114,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.0431933,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.0632832,-0.028663603588938713,0.01002376526594162,2.5600616931915283,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.0838408,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.1039066,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.1242545,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.1443052,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.1644475,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.1845098,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.2045758,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.2246432,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.2455604,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.2656333,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.2857113,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.3080606,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.3287635,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.3488264,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.3688853,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.3911483,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.411319,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.431449,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
